"epoch","ultra_hip_ensem_100_unetplus_sigma_0 - _step","ultra_hip_ensem_100_unetplus_sigma_0 - _step__MIN","ultra_hip_ensem_100_unetplus_sigma_0 - _step__MAX","ultra_hip_ensem_100_unetplus_sigma_0 - validation_mere_1","ultra_hip_ensem_100_unetplus_sigma_0 - validation_mere_1__MIN","ultra_hip_ensem_100_unetplus_sigma_0 - validation_mere_1__MAX","ultra_hip_ensem_100_unetplus_sigma_0 - validation_mere_2","ultra_hip_ensem_100_unetplus_sigma_0 - validation_mere_2__MIN","ultra_hip_ensem_100_unetplus_sigma_0 - validation_mere_2__MAX","ultra_hip_ensem_100_unetplus_sigma_0 - validation_mere_3","ultra_hip_ensem_100_unetplus_sigma_0 - validation_mere_3__MIN","ultra_hip_ensem_100_unetplus_sigma_0 - validation_mere_3__MAX"
"0","0","0","0","40.931556701660156","40.931556701660156","40.931556701660156","NaN","","","NaN","",""
"1","1","1","1","11.324362754821777","11.324362754821777","11.324362754821777","4.9565110206604","4.9565110206604","4.9565110206604","4.858936786651611","4.858936786651611","4.858936786651611"
"2","2","2","2","5.764255523681641","5.764255523681641","5.764255523681641","7.40968132019043","7.40968132019043","7.40968132019043","6.6201887130737305","6.6201887130737305","6.6201887130737305"
"3","3","3","3","6.909398555755615","6.909398555755615","6.909398555755615","5.574779033660889","5.574779033660889","5.574779033660889","6.544390678405762","6.544390678405762","6.544390678405762"
"4","4","4","4","6.137213230133057","6.137213230133057","6.137213230133057","5.853103160858154","5.853103160858154","5.853103160858154","6.577000617980957","6.577000617980957","6.577000617980957"
"5","5","5","5","5.740726947784424","5.740726947784424","5.740726947784424","6.429825305938721","6.429825305938721","6.429825305938721","6.225786209106445","6.225786209106445","6.225786209106445"
"6","6","6","6","5.560651779174805","5.560651779174805","5.560651779174805","6.210264205932617","6.210264205932617","6.210264205932617","6.092584609985352","6.092584609985352","6.092584609985352"
"7","7","7","7","5.618591785430908","5.618591785430908","5.618591785430908","6.172678470611572","6.172678470611572","6.172678470611572","6.188182353973389","6.188182353973389","6.188182353973389"
"8","8","8","8","5.681732654571533","5.681732654571533","5.681732654571533","6.219028472900391","6.219028472900391","6.219028472900391","6.261501312255859","6.261501312255859","6.261501312255859"
"9","9","9","9","5.600391864776611","5.600391864776611","5.600391864776611","6.215851306915283","6.215851306915283","6.215851306915283","6.1938557624816895","6.1938557624816895","6.1938557624816895"
"10","10","10","10","5.609885215759277","5.609885215759277","5.609885215759277","6.241949558258057","6.241949558258057","6.241949558258057","6.09862756729126","6.09862756729126","6.09862756729126"
"11","11","11","11","5.676910877227783","5.676910877227783","5.676910877227783","6.168996810913086","6.168996810913086","6.168996810913086","6.193456649780273","6.193456649780273","6.193456649780273"
"12","12","12","12","5.649533748626709","5.649533748626709","5.649533748626709","6.176895618438721","6.176895618438721","6.176895618438721","6.181456565856934","6.181456565856934","6.181456565856934"
"13","13","13","13","5.618749141693115","5.618749141693115","5.618749141693115","6.104404926300049","6.104404926300049","6.104404926300049","6.234554290771484","6.234554290771484","6.234554290771484"
"14","14","14","14","5.564364910125732","5.564364910125732","5.564364910125732","6.169869422912598","6.169869422912598","6.169869422912598","6.177432537078857","6.177432537078857","6.177432537078857"
"15","15","15","15","5.579883575439453","5.579883575439453","5.579883575439453","6.1211442947387695","6.1211442947387695","6.1211442947387695","6.208854675292969","6.208854675292969","6.208854675292969"
"16","16","16","16","5.621073246002197","5.621073246002197","5.621073246002197","6.162836074829102","6.162836074829102","6.162836074829102","6.141307353973389","6.141307353973389","6.141307353973389"
"17","17","17","17","5.6051788330078125","5.6051788330078125","5.6051788330078125","6.1865644454956055","6.1865644454956055","6.1865644454956055","6.165708065032959","6.165708065032959","6.165708065032959"
"18","18","18","18","5.559717655181885","5.559717655181885","5.559717655181885","6.115260601043701","6.115260601043701","6.115260601043701","6.141522407531738","6.141522407531738","6.141522407531738"
"19","19","19","19","5.579497337341309","5.579497337341309","5.579497337341309","6.055237770080566","6.055237770080566","6.055237770080566","6.193158149719238","6.193158149719238","6.193158149719238"
"20","20","20","20","5.538560390472412","5.538560390472412","5.538560390472412","6.245473861694336","6.245473861694336","6.245473861694336","6.191807270050049","6.191807270050049","6.191807270050049"
"21","21","21","21","5.568360328674316","5.568360328674316","5.568360328674316","6.146090507507324","6.146090507507324","6.146090507507324","6.112582683563232","6.112582683563232","6.112582683563232"
"22","22","22","22","5.576674938201904","5.576674938201904","5.576674938201904","6.183018207550049","6.183018207550049","6.183018207550049","6.182937145233154","6.182937145233154","6.182937145233154"
"23","23","23","23","5.577605724334717","5.577605724334717","5.577605724334717","6.059243202209473","6.059243202209473","6.059243202209473","6.131283760070801","6.131283760070801","6.131283760070801"
"24","24","24","24","5.630733966827393","5.630733966827393","5.630733966827393","6.108384132385254","6.108384132385254","6.108384132385254","6.09796667098999","6.09796667098999","6.09796667098999"
